mu_r	val
0.0	52.639174119854985
20.0	79.04017158617046
40.0	89.51697857266245
60.0	95.19441386666915
80.0	102.03971361370769
100.0	107.73124114686875
120.0	109.3964819145752
140.0	113.36926589622483
160.0	118.27641977703323
180.0	119.21067815499794
200.0	120.14163863441169
220.0	123.88407984695687
240.0	125.79395872982131
260.0	124.86640889023514
280.0	130.0304132595705
300.0	126.47224063610822
320.0	132.08717134216548
340.0	131.20426244259505
360.0	135.27925625852842
380.0	132.44286583197942
400.0	137.73059610295948
420.0	136.54883987462642
440.0	137.22763180065968
460.0	139.90574788083376
480.0	139.2010832132062
500.0	136.07476265038034
520.0	137.24076173483851
540.0	139.28878416070634
560.0	140.9038118931679
580.0	141.5703736075822
600.0	137.99710749913095
620.0	140.25237296006208
640.0	139.25256280084946
660.0	142.81022632509644
680.0	141.66713292665514
700.0	141.1690072050695
720.0	145.31022554793887
740.0	144.8383768211821
760.0	141.21107745536307
780.0	144.8632397940999
800.0	141.49817082252412
820.0	144.6670254106885
840.0	143.64443097986677
860.0	143.17705866064162
880.0	142.83328647462116
900.0	144.4621293930711
920.0	143.62676515959063
940.0	144.97729257019023
960.0	144.4569949525475
980.0	142.93664543116742
1000.0	145.93661762554078
1020.0	144.2001420866578
1040.0	142.6304962244217
1060.0	145.2118209160536
1080.0	144.73149552207596
1100.0	145.5023968971712
1120.0	144.6544021239595
1140.0	142.9103654073072
1160.0	145.73883784089145
1180.0	147.454463884375
1200.0	147.7688990661591
1220.0	144.51163813459485
1240.0	146.3928287980872
1260.0	147.02003700770072
1280.0	146.04935649413963
1300.0	146.96209900875854
1320.0	145.820760723517
1340.0	147.4031149005977
1360.0	148.25543860391517
1380.0	147.34829559557537
1400.0	147.42104533200228
1420.0	146.80545844954554
1440.0	144.0952448297953
1460.0	149.4360467741335
1480.0	146.71613599208936
1500.0	148.04964608829556
1520.0	147.4392189376461
1540.0	145.3297070071005
1560.0	148.19172077160422
1580.0	149.2154097936423
1600.0	147.52911340149038
1620.0	147.06814833496293
1640.0	147.14970657187743
1660.0	149.09172634198734
1680.0	149.62243246227476
1700.0	148.95695583915855
1720.0	146.40173499559327
1740.0	148.49503855325278
1760.0	146.9111834017262
1780.0	146.91750573030217
1800.0	148.546463113322
1820.0	147.4959393658447
1840.0	148.14731870742406
1860.0	147.02331046242315
1880.0	148.5123573241324
1900.0	144.7805018515809
1920.0	147.56199309245676
1940.0	147.94559469092536
1960.0	147.92916966721938
1980.0	146.45442968405328
2000.0	144.70021209664657
2020.0	150.2510268054676
2040.0	147.71871347991032
2060.0	149.06048951430853
2080.0	148.92311732882442
2100.0	146.570316001008
2120.0	147.81065650504044
2140.0	148.13989898308247
2160.0	147.73615343822647
2180.0	150.17379529987744
2200.0	148.98902967090436
2220.0	148.46627072051277
2240.0	146.6707220417052
2260.0	147.97981485677232
2280.0	146.22934972047622
2300.0	146.66004443479378
2320.0	147.66498625157664
2340.0	146.76437627075978
2360.0	148.51179346162823
2380.0	149.64767560674176
2400.0	148.7272919325788
2420.0	147.01326446485695
2440.0	146.62214539858135
2460.0	148.4033464482225
2480.0	147.02175310028588
2500.0	146.7055646270326
2520.0	145.38115028256226
2540.0	149.54148061770147
2560.0	145.12569292920708
2580.0	148.18114406543432
2600.0	147.38538190175652
2620.0	148.9877147056086
2640.0	149.95235274128456
2660.0	148.3150275933054
2680.0	148.2587617607906
2700.0	147.83023000899593
2720.0	149.96897901257014
2740.0	148.8614036011284
2760.0	148.87066302486167
2780.0	148.50466912952592
2800.0	145.23005552142067
2820.0	146.22481418154882
2840.0	148.60318409104457
2860.0	146.02300769932162
2880.0	149.14694356260284
2900.0	147.42466483511046
2920.0	148.20667271379799
2940.0	149.39823924379627
2960.0	148.47150417681226
2980.0	147.8446683968145
3000.0	148.99726272613665
3020.0	149.84644799056258
3040.0	149.694471063044
3060.0	150.548826187678
3080.0	146.97079996007673
3100.0	147.9086732127578
3120.0	145.9058289091462
3140.0	148.94789978283742
3160.0	151.10857682353756
3180.0	148.93944932025434
3200.0	149.54772587583423
3220.0	147.90206341888802
3240.0	149.52451744661067
3260.0	149.41649092189908
3280.0	147.98855457363365
3300.0	150.0389132110924
3320.0	149.7826281620663
3340.0	149.5117125699318
3360.0	148.7803861786882
3380.0	147.25600389562206
3400.0	148.68499649409682
3420.0	149.59173005118177
3440.0	149.5295738122082
3460.0	150.49745420453203
3480.0	150.77349403541228
3500.0	146.2214860766194
3520.0	148.2744857670084
3540.0	148.6333684803044
3560.0	149.464778629098
3580.0	146.47802120952534
3600.0	146.40754654211992
3620.0	150.06189087373988
3640.0	149.1076469919286
3660.0	146.76833922365685
3680.0	146.67695602961726
3700.0	150.1943531439301
3720.0	147.46969295238884
3740.0	148.67924359584973
3760.0	148.0152297146906
3780.0	149.8604526102686
3800.0	147.95791235899375
3820.0	148.86159590950197
3840.0	147.59203653876344
3860.0	148.55051696771366
3880.0	149.99060306119628
3900.0	149.48889387088343
3920.0	149.26327055275436
3940.0	147.54095396492121
3960.0	149.20338444661982
3980.0	147.52111064768843
4000.0	150.75371400348072
4020.0	150.21649538631286
4040.0	149.36154310720545
4060.0	150.19972178243611
4080.0	148.53041581100047
4100.0	147.66850596765963
4120.0	148.18340988486196
4140.0	148.5134270117078
4160.0	151.3623644478748
4180.0	149.98653770109038
4200.0	150.24553453491995
4220.0	148.9586927747654
4240.0	149.8868654899443
4260.0	149.7713435919627
4280.0	149.35518570582516
4300.0	147.80332641231075
4320.0	149.8390018551311
4340.0	148.6084113367743
4360.0	149.58375445966269
4380.0	146.84826737535442
4400.0	146.5354259450426
4420.0	147.93574769727334
4440.0	148.13024116695436
4460.0	147.63970910356215
4480.0	149.08526228504047
4500.0	149.159834491635
