mu_r	val
0.0	55.17334133138708
20.0	82.4030656334871
40.0	96.00435835876598
60.0	106.56161049308581
80.0	112.59117207619461
100.0	116.47019438050373
120.0	121.66908952594869
140.0	123.26122518452287
160.0	126.5696918824273
180.0	124.77749288735403
200.0	128.92093103778504
220.0	133.2848527629092
240.0	133.6468783719936
260.0	135.36088112849154
280.0	137.9142954242235
300.0	139.03987723499333
320.0	139.4839975919296
340.0	137.5807701228967
360.0	140.68927050697766
380.0	134.27062059589485
400.0	144.54286175226068
420.0	145.15390856270577
440.0	144.8158417330135
460.0	146.78952489523414
480.0	147.4678843958381
500.0	143.45259695013985
520.0	150.8377082171346
540.0	150.75441513915416
560.0	150.3569043912933
580.0	149.41083182087374
600.0	148.64511526300294
620.0	152.1093564932364
640.0	144.9402766409762
660.0	152.11751366604878
680.0	148.27607167595966
700.0	152.99813529859858
720.0	151.76126406820245
740.0	153.2439749557049
760.0	152.36795227773433
780.0	149.3278338145555
800.0	153.92116808998685
820.0	154.69166196359825
840.0	150.7546042775049
860.0	157.3181062547172
880.0	154.9237349744713
900.0	156.4368335209985
920.0	156.1020148115003
940.0	155.358276921569
960.0	155.26491193736436
980.0	155.4350599264969
1000.0	156.86838768551775
1020.0	159.07121264437893
1040.0	159.62101370811675
1060.0	156.45509609069967
1080.0	155.50964337605006
1100.0	159.0795416367395
1120.0	158.6116056530671
1140.0	156.00994958668988
1160.0	158.3862989193822
1180.0	157.57259571534883
1200.0	157.27620796573774
1220.0	157.57814948167257
1240.0	156.5379195265389
1260.0	155.99653923284495
1280.0	159.27140992593908
1300.0	160.11524258978247
1320.0	155.98181612073765
1340.0	159.5286561823654
1360.0	161.05698526001964
1380.0	159.29768792028247
1400.0	161.07335411632013
1420.0	160.49630510249972
1440.0	162.22296264957217
1460.0	157.25846866872308
1480.0	163.87147525524225
1500.0	162.92696985957195
1520.0	159.59775331257447
1540.0	159.56793809304446
1560.0	162.1716059065247
1580.0	161.49283454459345
1600.0	159.7685357463026
1620.0	158.3741340330602
1640.0	155.96869602905366
1660.0	160.4942692431586
1680.0	158.83161835116834
1700.0	159.9996072747637
1720.0	164.37730555551997
1740.0	162.45602513392924
1760.0	160.52451831791043
1780.0	160.25480370495046
1800.0	162.1089017861584
1820.0	159.3392952789788
1840.0	159.09843928846212
1860.0	157.9277360764695
1880.0	158.4556047548733
1900.0	163.29988269346924
1920.0	159.45858781417442
1940.0	157.4157069790853
1960.0	162.52451739330587
1980.0	158.2159165618952
2000.0	166.5607123197768
2020.0	163.16017406643286
2040.0	162.11520919932425
2060.0	164.83642505891703
2080.0	157.38729279583063
2100.0	166.29152696321967
2120.0	160.17756318648847
2140.0	162.67330838074193
2160.0	163.16601422863138
2180.0	162.43361200356296
2200.0	163.4994521150816
2220.0	160.08389731371975
2240.0	162.01073606231768
2260.0	161.6268892057084
2280.0	164.10167006810522
2300.0	158.1469351611808
2320.0	162.58025708105984
2340.0	162.321115109057
2360.0	165.33475954246998
2380.0	165.1293390370321
2400.0	163.73232383754407
2420.0	160.95434983380568
2440.0	164.10872227441504
2460.0	163.73942567592275
2480.0	162.0448583472473
2500.0	161.09047546923608
2520.0	160.2045716296596
2540.0	164.65722066664938
2560.0	164.40456966390641
2580.0	160.05464192682572
2600.0	162.50275046837328
2620.0	164.69401587546585
2640.0	164.3697667482242
2660.0	162.5220876900821
2680.0	164.37796199019186
2700.0	161.054414070379
2720.0	161.9878806482463
2740.0	162.54238928043262
2760.0	160.36119129823047
2780.0	166.16765461583518
2800.0	163.67581273084323
2820.0	159.77467551716668
2840.0	165.62931283652225
2860.0	163.99843719584374
2880.0	162.58701369804163
2900.0	163.00478867918125
2920.0	165.41319567366054
2940.0	159.5360215052281
2960.0	164.02528460183163
2980.0	161.45249681835253
3000.0	164.06552530330782
3020.0	165.17284905925732
3040.0	165.64706724716032
3060.0	163.14530921480886
3080.0	160.92330349812022
3100.0	167.83622157214063
3120.0	162.3159511214224
3140.0	162.02833497572632
3160.0	163.62008099397335
3180.0	163.1215252799982
3200.0	163.35685036760376
3220.0	162.37393831213416
3240.0	162.62311837960587
3260.0	162.79308219914546
3280.0	162.57358910788784
3300.0	165.03805568482318
3320.0	163.43009062959442
3340.0	165.5060759929389
3360.0	162.99466777745187
3380.0	163.18368470316835
3400.0	160.67841140071218
3420.0	163.0004650268756
3440.0	168.12100214045003
3460.0	162.95036798509798
3480.0	162.97609660563128
3500.0	161.9240325964815
3520.0	164.66991975495947
3540.0	163.00425953698445
3560.0	163.38367846022547
3580.0	162.77272898377234
3600.0	159.9141632483673
3620.0	165.97627078459186
3640.0	163.0479671747087
3660.0	164.83266357081214
3680.0	165.51709687262542
3700.0	162.38500128256263
3720.0	156.37422907756238
3740.0	164.72047690201452
3760.0	162.5475131541175
3780.0	165.57585415956305
3800.0	163.84633401093248
3820.0	165.30950486539678
3840.0	166.15634726702856
3860.0	157.09243022683782
3880.0	163.73132612492668
3900.0	162.42416541006864
3920.0	162.43935973334578
3940.0	164.8839350119111
3960.0	156.71182343734276
3980.0	163.2393551162548
4000.0	166.24083960490344
4020.0	162.51099090191062
4040.0	165.02568236950944
4060.0	159.07942758140373
4080.0	164.2131556805376
4100.0	164.37610067532094
4120.0	163.61748760297434
4140.0	161.74170238283617
4160.0	160.51001952556285
4180.0	160.42325959915505
4200.0	163.3404738185824
4220.0	164.4287398422693
4240.0	166.20015322089375
4260.0	162.497664600608
4280.0	162.05424830289354
4300.0	163.20981679779743
4320.0	161.17717309225426
4340.0	161.55966006874255
4360.0	161.89217374258322
4380.0	161.66231493852712
4400.0	166.27969433332788
4420.0	164.72923642207505
4440.0	165.5682183169768
4460.0	161.62956382994116
4480.0	162.08419513460265
4500.0	161.64358175031325
4520.0	163.1950140553583
4540.0	165.1218325531517
4560.0	162.35466471887682
4580.0	168.12402673187893
4600.0	162.6610290261626
4620.0	164.1010424580327
4640.0	164.38283770250186
4660.0	168.47702191890713
4680.0	167.62831959707663
4700.0	165.6062152577051
4720.0	167.45924555720168
4740.0	162.87472222689348
4760.0	162.79346716139838
4780.0	164.2891621173155
4800.0	159.65324978620077
4820.0	161.74663954962327
4840.0	161.76871707020513
4860.0	162.69427479001158
4880.0	161.28005776597288
4900.0	165.27566564856104
4920.0	168.6835934785752
4940.0	167.21839190664454
4960.0	164.45098757403574
4980.0	167.3360428787361
5000.0	167.9093985442806
