mu_r	b
0.0	10.0
100.0	13.0
200.0	13.0
300.0	17.0
400.0	17.0
500.0	21.0
600.0	22.0
700.0	23.0
800.0	23.0
900.0	27.0
1000.0	30.0
1100.0	28.0
1200.0	39.0
1300.0	37.0
1400.0	29.0
1500.0	40.0
1600.0	29.0
1700.0	29.0
1800.0	33.0
1900.0	41.0
2000.0	43.0
2100.0	40.0
2200.0	40.0
2300.0	31.0
2400.0	42.0
2500.0	42.0
2600.0	29.0
2700.0	41.0
2800.0	31.0
2900.0	44.0
3000.0	43.0
3100.0	41.0
3200.0	43.0
3300.0	43.0
3400.0	43.0
3500.0	43.0
3600.0	35.0
3700.0	35.0
3800.0	45.0
3900.0	45.0
4000.0	42.0
4100.0	42.0
4200.0	45.0
4300.0	42.0
4400.0	44.0
4500.0	44.0
4600.0	44.0
4700.0	33.0
4800.0	44.0
4900.0	44.0
5000.0	44.0
