mu_r	b
0.0	11.0
20.0	11.0
40.0	9.0
60.0	11.0
80.0	12.0
100.0	12.0
120.0	9.0
140.0	9.0
160.0	15.0
180.0	9.0
200.0	10.0
220.0	17.0
240.0	13.0
260.0	11.0
280.0	18.0
300.0	14.0
320.0	11.0
340.0	13.0
360.0	12.0
380.0	14.0
400.0	13.0
420.0	13.0
440.0	12.0
460.0	11.0
480.0	14.0
500.0	13.0
520.0	14.0
540.0	14.0
560.0	13.0
580.0	15.0
600.0	15.0
620.0	16.0
640.0	15.0
660.0	14.0
680.0	13.0
700.0	17.0
720.0	16.0
740.0	17.0
760.0	16.0
780.0	17.0
800.0	17.0
820.0	14.0
840.0	17.0
860.0	17.0
880.0	15.0
900.0	17.0
920.0	17.0
940.0	18.0
960.0	15.0
980.0	17.0
1000.0	16.0
1020.0	16.0
1040.0	18.0
1060.0	18.0
1080.0	17.0
1100.0	19.0
1120.0	19.0
1140.0	18.0
1160.0	19.0
1180.0	19.0
1200.0	19.0
1220.0	19.0
1240.0	18.0
1260.0	18.0
1280.0	20.0
1300.0	17.0
1320.0	17.0
1340.0	19.0
1360.0	18.0
1380.0	19.0
1400.0	18.0
1420.0	19.0
1440.0	19.0
1460.0	18.0
1480.0	21.0
1500.0	19.0
1520.0	19.0
1540.0	19.0
1560.0	18.0
1580.0	19.0
1600.0	19.0
1620.0	20.0
1640.0	21.0
1660.0	19.0
1680.0	21.0
1700.0	18.0
1720.0	19.0
1740.0	18.0
1760.0	18.0
1780.0	19.0
1800.0	21.0
1820.0	20.0
1840.0	30.0
1860.0	19.0
1880.0	18.0
1900.0	22.0
1920.0	22.0
1940.0	20.0
1960.0	21.0
1980.0	20.0
2000.0	21.0
2020.0	21.0
2040.0	20.0
2060.0	21.0
2080.0	20.0
2100.0	22.0
2120.0	21.0
2140.0	21.0
2160.0	23.0
2180.0	22.0
2200.0	22.0
2220.0	22.0
2240.0	20.0
2260.0	21.0
2280.0	20.0
2300.0	21.0
2320.0	21.0
2340.0	21.0
2360.0	20.0
2380.0	21.0
2400.0	22.0
2420.0	22.0
2440.0	22.0
2460.0	22.0
2480.0	23.0
2500.0	22.0
2520.0	22.0
2540.0	21.0
2560.0	20.0
2580.0	20.0
2600.0	20.0
2620.0	22.0
2640.0	21.0
2660.0	22.0
2680.0	23.0
2700.0	23.0
2720.0	22.0
2740.0	21.0
2760.0	20.0
2780.0	21.0
2800.0	21.0
2820.0	21.0
2840.0	21.0
2860.0	21.0
2880.0	21.0
2900.0	20.0
2920.0	21.0
2940.0	22.0
2960.0	23.0
2980.0	21.0
3000.0	21.0
3020.0	23.0
3040.0	21.0
3060.0	22.0
3080.0	21.0
3100.0	23.0
3120.0	21.0
3140.0	22.0
3160.0	21.0
3180.0	21.0
3200.0	22.0
3220.0	22.0
