mu_r	b
1060.0	27.0
1080.0	28.0
1100.0	28.0
1120.0	28.0
1140.0	32.0
1160.0	39.0
1180.0	28.0
1200.0	39.0
1220.0	31.0
1240.0	31.0
1260.0	31.0
1280.0	28.0
1300.0	29.0
1320.0	29.0
1340.0	28.0
1360.0	29.0
1380.0	40.0
1400.0	29.0
1420.0	40.0
1440.0	40.0
1460.0	40.0
1480.0	27.0
1500.0	40.0
1520.0	40.0
1540.0	40.0
1560.0	29.0
1580.0	40.0
1600.0	39.0
1620.0	42.0
1640.0	42.0
1660.0	30.0
1680.0	29.0
1700.0	29.0
1720.0	41.0
1740.0	41.0
1760.0	39.0
1780.0	30.0
1800.0	41.0
1820.0	41.0
1840.0	41.0
1860.0	41.0
1880.0	41.0
1900.0	41.0
1920.0	41.0
1940.0	33.0
1960.0	41.0
1980.0	34.0
2000.0	34.0
