mu_r	b
0.0	10.0
20.0	12.0
40.0	13.0
60.0	12.0
80.0	12.0
100.0	13.0
120.0	13.0
140.0	14.0
160.0	14.0
180.0	14.0
200.0	15.0
220.0	16.0
240.0	14.0
260.0	16.0
280.0	14.0
300.0	17.0
320.0	17.0
340.0	18.0
360.0	20.0
380.0	19.0
400.0	19.0
420.0	22.0
440.0	20.0
460.0	18.0
480.0	18.0
500.0	21.0
520.0	26.0
540.0	19.0
560.0	19.0
580.0	22.0
600.0	22.0
620.0	24.0
640.0	25.0
660.0	24.0
680.0	23.0
700.0	28.0
720.0	25.0
740.0	21.0
760.0	25.0
780.0	23.0
800.0	37.0
820.0	24.0
840.0	23.0
860.0	26.0
880.0	25.0
900.0	27.0
920.0	27.0
940.0	38.0
960.0	38.0
980.0	25.0
1000.0	27.0
1020.0	31.0
1040.0	27.0
1060.0	28.0
