mu_r	val
0.0	53.25124220632834
100.0	107.94366267010905
200.0	119.4297129391122
300.0	127.77162367756546
400.0	132.05211787355296
500.0	136.41542221544046
600.0	137.7205533817984
700.0	139.51672069406825
800.0	142.26442974070682
900.0	143.47834546939532
1000.0	141.1199661366861
1100.0	147.18428622437304
1200.0	145.60130205719923
1300.0	145.60737996790846
1400.0	147.17515650398255
1500.0	146.28665813317062
1600.0	145.72981500075076
1700.0	146.99580625710522
1800.0	149.35885093718935
1900.0	149.13333433588974
2000.0	151.18438696688767
2100.0	148.3712023258429
2200.0	148.91813482790596
2300.0	151.98664421542586
2400.0	149.808039104226
2500.0	147.78711651207408
2600.0	148.581510888575
2700.0	150.40023743803562
2800.0	151.80245320185162
2900.0	150.31812949737065
3000.0	152.2626772036145
3100.0	151.2583420101496
3200.0	150.0876849560505
3300.0	150.96671507487244
3400.0	152.68042438866874
3500.0	152.49918345672296
3600.0	151.2724416502786
3700.0	153.75370564705926
3800.0	153.52663140407202
3900.0	148.9736142752441
4000.0	153.3071052140215
4100.0	148.1831134630915
4200.0	151.82630825004236
4300.0	149.60018043924669
4400.0	151.40757670898967
4500.0	152.39570934860825
4600.0	151.91118433923654
4700.0	149.87640046680806
4800.0	150.85246966275932
4900.0	149.51166114859043
5000.0	152.74676036526222
