mu_r	val
0.0	52.57565519488705
100.0	101.21785397799891
200.0	115.90682191463591
300.0	124.25438861074566
400.0	129.42923519393437
500.0	133.54140381238673
600.0	135.46398730466453
700.0	137.3556937617386
800.0	140.00320057203527
900.0	140.5459516956212
1000.0	141.604765781517
1100.0	141.9065198289875
1200.0	142.75292634934175
1300.0	143.29491400127344
1400.0	143.07774052539915
1500.0	143.67618328620728
1600.0	144.36478792337724
1700.0	144.35783995997738
1800.0	145.07355458960325
1900.0	144.68517330195226
2000.0	145.9918564628457
2100.0	145.6135513719916
2200.0	145.71835700618104
2300.0	145.30211402735335
2400.0	144.45293706626498
2500.0	144.96777325866964
2600.0	145.57802449456753
2700.0	146.0081345794754
2800.0	146.73088096735864
2900.0	146.327258472208
3000.0	146.59614496850813
3100.0	146.66576194362594
3200.0	145.7472576926969
3300.0	145.37144515099337
3400.0	146.2772248206462
3500.0	144.88261009310025
3600.0	147.25428464035167
3700.0	146.5485441797698
3800.0	146.70593490357504
3900.0	146.63842380130055
4000.0	146.9286084346985
4100.0	147.00712539543926
4200.0	147.21498949524954
4300.0	147.00197639923795
4400.0	146.46617999688482
4500.0	146.89452882286307
4600.0	146.10571292274673
4700.0	146.7667473065334
4800.0	146.26061750256082
4900.0	146.14606489580098
5000.0	145.69890882718937
