mu_r	b
2000.0	30.0
2020.0	43.0
2040.0	42.0
2060.0	40.0
2080.0	42.0
2100.0	40.0
2120.0	42.0
2140.0	30.0
2160.0	30.0
2180.0	43.0
2200.0	42.0
2220.0	42.0
2240.0	34.0
2260.0	40.0
2280.0	40.0
2300.0	42.0
2320.0	39.0
2340.0	42.0
2360.0	42.0
2380.0	42.0
2400.0	42.0
2420.0	42.0
2440.0	42.0
2460.0	42.0
2480.0	42.0
2500.0	42.0
2520.0	42.0
2540.0	42.0
2560.0	42.0
2580.0	44.0
2600.0	34.0
2620.0	42.0
2640.0	31.0
2660.0	44.0
2680.0	42.0
2700.0	44.0
2720.0	44.0
2740.0	41.0
2760.0	44.0
2780.0	44.0
2800.0	41.0
2820.0	44.0
2840.0	44.0
2860.0	43.0
2880.0	41.0
2900.0	41.0
2920.0	43.0
2940.0	41.0
2960.0	43.0
2980.0	41.0
3000.0	31.0
3020.0	41.0
3040.0	43.0
3060.0	43.0
3080.0	43.0
3100.0	43.0
3120.0	43.0
3140.0	41.0
3160.0	43.0
3180.0	43.0
3200.0	43.0
3220.0	43.0
3240.0	43.0
3260.0	43.0
3280.0	43.0
3300.0	43.0
3320.0	43.0
3340.0	41.0
3360.0	43.0
3380.0	43.0
3400.0	43.0
3420.0	43.0
3440.0	35.0
3460.0	43.0
3480.0	43.0
3500.0	35.0
3520.0	43.0
3540.0	43.0
3560.0	35.0
3580.0	43.0
3600.0	43.0
3620.0	43.0
3640.0	45.0
3660.0	45.0
3680.0	36.0
3700.0	35.0
3720.0	35.0
3740.0	43.0
3760.0	45.0
3780.0	43.0
3800.0	45.0
3820.0	45.0
3840.0	42.0
3860.0	45.0
3880.0	32.0
3900.0	32.0
3920.0	45.0
3940.0	42.0
3960.0	45.0
3980.0	45.0
4000.0	45.0
