mu_r	val
0.0	52.7341729291704
250.0	120.87155868622492
500.0	134.3543689883548
750.0	138.01989374350862
1000.0	141.52669906125118
1250.0	142.44668227548286
1500.0	143.4895803004186
1750.0	144.00364260492935
2000.0	144.89942550591272
2250.0	144.84461551893997
2500.0	143.8488276314953
2750.0	146.492389814961
3000.0	145.33133914139881
3250.0	145.64931888229071
3500.0	145.2204290903716
3750.0	146.14739716844556
4000.0	145.89592776393079
4250.0	146.2505829123447
4500.0	145.75941555621608
4750.0	146.6979970286374
