mu_r	b
0.0	11.0
100.0	12.0
200.0	15.0
300.0	11.0
400.0	15.0
500.0	14.0
600.0	15.0
700.0	18.0
800.0	16.0
900.0	21.0
1000.0	17.0
1100.0	18.0
1200.0	18.0
1300.0	19.0
1400.0	19.0
1500.0	19.0
1600.0	20.0
1700.0	20.0
1800.0	25.0
1900.0	24.0
2000.0	27.0
2100.0	19.0
2200.0	20.0
2300.0	20.0
2400.0	22.0
2500.0	21.0
2600.0	22.0
2700.0	21.0
2800.0	22.0
2900.0	22.0
3000.0	22.0
3100.0	22.0
3200.0	21.0
3300.0	22.0
3400.0	30.0
3500.0	27.0
3600.0	23.0
3700.0	21.0
3800.0	27.0
3900.0	23.0
4000.0	22.0
4100.0	22.0
4200.0	23.0
4300.0	22.0
4400.0	33.0
4500.0	23.0
4600.0	33.0
4700.0	23.0
4800.0	23.0
4900.0	21.0
5000.0	33.0
