mu_r	val
2000.0	144.88120642447936
2020.0	145.78676037299724
2040.0	145.8253222893918
2060.0	145.95831637333893
2080.0	146.02739980428257
2100.0	145.8675192658497
2120.0	145.79944704085736
2140.0	145.81970533221659
2160.0	145.36503201847376
2180.0	145.92956952501183
2200.0	146.0839729568854
2220.0	145.8576660841579
2240.0	145.88000880151185
2260.0	145.0920034677286
2280.0	145.53890861283926
2300.0	145.64375486495015
2320.0	145.8175781627648
2340.0	144.7857174316373
2360.0	145.2599758616306
2380.0	144.85518116065472
2400.0	144.85486372413405
2420.0	144.55373441885968
2440.0	145.09119619502536
2460.0	145.00160264679704
2480.0	144.919624317056
2500.0	145.0075529552263
2520.0	145.6659414578196
2540.0	145.04173634135293
2560.0	145.5177605828039
2580.0	146.46684645617765
2600.0	146.4585709655552
2620.0	145.86817011564332
2640.0	146.13173455829894
2660.0	146.02557165551963
2680.0	144.53773434556368
2700.0	146.60273280209353
2720.0	146.12307890661515
2740.0	146.26240743864392
2760.0	146.64161446328035
2780.0	146.32841507431573
2800.0	146.27232044212818
2820.0	146.6664283778663
2840.0	146.22138724432676
2860.0	146.89902429638158
2880.0	146.17522503435293
2900.0	146.50878635964352
2920.0	146.57285937836187
2940.0	146.54254428050936
2960.0	146.51084821457496
2980.0	146.3444649306357
3000.0	145.8824001072094
3020.0	145.98716076649237
3040.0	146.29681536401915
3060.0	146.1268124512397
3080.0	145.96726877246869
3100.0	146.2310781832077
3120.0	146.45548352330098
3140.0	146.55431942609755
3160.0	146.62091805695638
3180.0	146.08246775051396
3200.0	145.65532161698306
3220.0	146.23681926826526
3240.0	144.8584416201869
3260.0	145.11682677455548
3280.0	145.82989291105696
3300.0	145.96662184329625
3320.0	145.64210593418136
3340.0	146.46612061772797
3360.0	145.10400309015316
3380.0	145.44573320736652
3400.0	145.2567626255621
3420.0	145.60716909826294
3440.0	146.804521509391
3460.0	145.3508607467104
3480.0	145.4860952606358
3500.0	146.97302256589188
3520.0	145.45425447500318
3540.0	145.35705431880316
3560.0	147.10313484756512
3580.0	146.56692092785556
3600.0	145.78414235022694
3620.0	146.04268134640063
3640.0	147.22300777201096
3660.0	146.59031387481855
3680.0	147.37771618764697
3700.0	146.32767880101437
3720.0	147.0100319857123
3740.0	145.84818187313104
3760.0	147.35603907915274
3780.0	145.7780099042088
3800.0	147.54293957246028
3820.0	146.38069513831405
3840.0	147.18957572455957
3860.0	146.4556328747075
3880.0	146.98061856144082
3900.0	146.8478050500055
3920.0	147.03060152273446
3940.0	147.25596720709473
3960.0	146.4357101505568
3980.0	146.9815820662147
4000.0	147.6047853252179
