mu_r	b
0.0	10.0
20.0	13.0
40.0	12.0
60.0	12.0
80.0	12.0
100.0	11.0
120.0	13.0
140.0	14.0
160.0	15.0
180.0	15.0
200.0	16.0
220.0	16.0
240.0	17.0
260.0	18.0
280.0	18.0
300.0	14.0
320.0	19.0
340.0	12.0
360.0	20.0
380.0	13.0
400.0	21.0
420.0	13.0
440.0	22.0
460.0	14.0
480.0	14.0
500.0	23.0
520.0	23.0
540.0	23.0
560.0	23.0
580.0	24.0
600.0	24.0
620.0	24.0
640.0	24.0
660.0	40.0
680.0	40.0
700.0	25.0
720.0	40.0
740.0	20.0
760.0	25.0
780.0	26.0
800.0	26.0
820.0	26.0
840.0	41.0
860.0	26.0
880.0	26.0
900.0	26.0
920.0	42.0
940.0	27.0
960.0	45.0
980.0	42.0
1000.0	42.0
1020.0	42.0
1040.0	22.0
1060.0	42.0
1080.0	27.0
1100.0	45.0
1120.0	28.0
1140.0	28.0
1160.0	28.0
1180.0	43.0
1200.0	43.0
1220.0	43.0
1240.0	43.0
1260.0	43.0
1280.0	43.0
1300.0	28.0
1320.0	28.0
1340.0	44.0
1360.0	43.0
1380.0	45.0
1400.0	47.0
1420.0	44.0
1440.0	47.0
1460.0	44.0
1480.0	47.0
1500.0	44.0
1520.0	44.0
1540.0	44.0
1560.0	44.0
1580.0	47.0
1600.0	29.0
1620.0	29.0
1640.0	29.0
1660.0	29.0
1680.0	47.0
1700.0	45.0
1720.0	29.0
1740.0	46.0
1760.0	46.0
1780.0	45.0
1800.0	45.0
1820.0	45.0
1840.0	45.0
1860.0	45.0
1880.0	45.0
1900.0	45.0
1920.0	45.0
1940.0	45.0
1960.0	45.0
1980.0	47.0
2000.0	45.0
2020.0	30.0
2040.0	30.0
2060.0	45.0
2080.0	46.0
2100.0	30.0
2120.0	30.0
2140.0	30.0
2160.0	30.0
2180.0	46.0
2200.0	30.0
2220.0	46.0
2240.0	46.0
2260.0	31.0
2280.0	46.0
2300.0	46.0
2320.0	47.0
2340.0	48.0
2360.0	48.0
2380.0	46.0
2400.0	45.0
2420.0	48.0
2440.0	46.0
2460.0	46.0
2480.0	46.0
2500.0	46.0
2520.0	46.0
2540.0	46.0
2560.0	47.0
2580.0	46.0
2600.0	46.0
2620.0	46.0
2640.0	46.0
2660.0	46.0
2680.0	31.0
2700.0	46.0
2720.0	47.0
2740.0	46.0
2760.0	47.0
2780.0	31.0
2800.0	31.0
2820.0	46.0
2840.0	31.0
2860.0	31.0
2880.0	31.0
2900.0	47.0
2920.0	31.0
2940.0	31.0
2960.0	31.0
2980.0	31.0
3000.0	31.0
3020.0	46.0
3040.0	48.0
3060.0	46.0
3080.0	47.0
3100.0	47.0
3120.0	31.0
3140.0	48.0
3160.0	48.0
3180.0	47.0
3200.0	47.0
3220.0	47.0
3240.0	46.0
3260.0	47.0
3280.0	47.0
3300.0	47.0
3320.0	48.0
3340.0	48.0
3360.0	47.0
3380.0	47.0
3400.0	47.0
3420.0	47.0
3440.0	47.0
3460.0	48.0
3480.0	47.0
3500.0	47.0
3520.0	47.0
3540.0	47.0
3560.0	47.0
3580.0	47.0
3600.0	47.0
3620.0	47.0
3640.0	47.0
3660.0	47.0
3680.0	47.0
3700.0	47.0
3720.0	47.0
3740.0	47.0
3760.0	47.0
3780.0	48.0
3800.0	47.0
3820.0	47.0
3840.0	48.0
3860.0	47.0
3880.0	47.0
3900.0	48.0
3920.0	47.0
3940.0	47.0
3960.0	48.0
3980.0	47.0
4000.0	32.0
4020.0	47.0
4040.0	48.0
4060.0	48.0
4080.0	48.0
4100.0	47.0
4120.0	47.0
4140.0	47.0
4160.0	48.0
4180.0	32.0
4200.0	32.0
4220.0	48.0
4240.0	48.0
4260.0	32.0
4280.0	48.0
4300.0	47.0
4320.0	32.0
4340.0	48.0
4360.0	47.0
4380.0	47.0
4400.0	48.0
4420.0	32.0
4440.0	48.0
4460.0	48.0
4480.0	47.0
4500.0	48.0
4520.0	48.0
4540.0	48.0
4560.0	48.0
4580.0	48.0
4600.0	48.0
4620.0	48.0
4640.0	48.0
4660.0	48.0
4680.0	48.0
4700.0	48.0
4720.0	48.0
4740.0	48.0
4760.0	48.0
4780.0	48.0
4800.0	48.0
4820.0	48.0
4840.0	48.0
4860.0	47.0
4880.0	48.0
4900.0	48.0
4920.0	48.0
4940.0	48.0
4960.0	48.0
4980.0	48.0
5000.0	48.0
