mu_r	b
0.0	9.0
0.0001	9.0
0.0002	9.0
0.00030000000000000003	9.0
0.0004	9.0
0.0005	9.0
0.0006000000000000001	9.0
0.0007	9.0
0.0008	9.0
0.0009000000000000001	10.0
0.001	9.0
0.0011	9.0
0.0012000000000000001	9.0
0.0013000000000000002	9.0
0.0014	9.0
0.0015	9.0
0.0016	9.0
0.0017000000000000001	9.0
0.0018000000000000002	9.0
0.0019	9.0
0.002	9.0
0.0021000000000000003	9.0
0.0022	9.0
0.0023	9.0
0.0024000000000000002	9.0
0.0025	9.0
0.0026000000000000003	9.0
0.0027	11.0
0.0028	9.0
0.0029000000000000002	9.0
0.003	10.0
0.0031000000000000003	9.0
0.0032	9.0
0.0033	10.0
0.0034000000000000002	10.0
0.0035	9.0
0.0036000000000000003	9.0
0.0037	9.0
0.0038	9.0
0.0039000000000000003	10.0
0.004	9.0
0.0041	10.0
0.004200000000000001	10.0
0.0043	9.0
0.0044	9.0
0.0045000000000000005	10.0
0.0046	9.0
0.0047	9.0
0.0048000000000000004	9.0
0.0049	10.0
0.005	9.0
0.0051	9.0
0.005200000000000001	9.0
0.0053	9.0
0.0054	9.0
0.0055000000000000005	9.0
0.0056	10.0
0.0057	9.0
0.0058000000000000005	10.0
0.0059	9.0
0.006	9.0
0.0061	9.0
0.006200000000000001	9.0
0.0063	9.0
0.0064	10.0
0.006500000000000001	9.0
0.0066	9.0
0.0067	9.0
0.0068000000000000005	10.0
0.006900000000000001	9.0
0.007	10.0
0.0071	10.0
0.007200000000000001	9.0
0.0073	9.0
0.0074	9.0
0.007500000000000001	10.0
0.0076	10.0
0.0077	9.0
0.0078000000000000005	10.0
0.0079	9.0
0.008	9.0
0.0081	9.0
0.0082	10.0
0.0083	9.0
0.008400000000000001	11.0
0.0085	9.0
0.0086	10.0
0.008700000000000001	10.0
0.0088	9.0
0.0089	9.0
0.009000000000000001	10.0
0.0091	9.0
0.0092	9.0
0.009300000000000001	9.0
0.0094	9.0
0.0095	9.0
0.009600000000000001	9.0
0.0097	9.0
0.0098	9.0
0.0099	10.0
